"날짜","종가","시가","고가","저가","거래량","변동 %"
"2017- 10- 08","57.17","55.50","57.57","55.06","1.35M","2.79%"
"2017- 10- 01","55.62","56.73","57.28","55.13","1.73M","-3.34%"
"2017- 09- 24","57.54","56.87","59.49","56.70","724.44K","1.20%"
"2017- 09- 17","56.86","55.59","56.91","54.82","1.26M","2.23%"
"2017- 09- 10","55.62","53.82","55.99","53.04","1.45M","3.42%"
"2017- 09- 03","53.78","52.85","54.87","51.99","1.36M","1.95%"
"2017- 08- 27","52.75","52.38","52.95","50.56","729.84K","0.65%"
"2017- 08- 20","52.41","53.00","53.00","51.30","1.35M","-0.59%"
"2017- 08- 13","52.72","52.02","52.96","50.00","1.57M","1.19%"
"2017- 08- 06","52.10","52.39","53.64","51.30","1.46M","-0.61%"
"2017- 07- 30","52.42","52.60","52.93","50.88","1.51M","-0.19%"
"2017- 07- 23","52.52","47.96","52.70","47.68","1.17M","9.28%"
"2017- 07- 16","48.06","49.14","50.19","47.81","1.43M","-1.74%"
"2017- 07- 09","48.91","46.84","49.11","46.11","1.44M","4.71%"
"2017- 07- 02","46.71","48.95","49.90","46.28","1.36M","-2.53%"
"2017- 06- 25","47.92","45.63","48.12","45.04","834.80K","5.23%"
